image_name,predicted_label,confidence
T10_d19_254_b_5.jpg,overripe,0.9407
T10_d24_366_b_5.jpg,overripe,0.8314
T10_d19_475_b_4.jpg,overripe,0.8660
T20_d10_311_b_4.jpg,overripe,0.5372
Tam_d02_364_a_1.jpg,underripe,0.9601
T10_d22_156_a_5.jpg,overripe,0.7913
T10_d07_118_a_1.jpg,underripe,0.9704
T10_d03_298_a_1.jpg,underripe,0.9555
T10_d15_398_a_4.jpg,overripe,0.8933
T10_d14_331_a_4.jpg,overripe,0.5123
T20_d06_289_a_4.jpg,overripe,0.8434
T10_d09_451_b_2.jpg,underripe,0.8932
T20_d10_103_b_5.jpg,overripe,0.9493
Tam_d05_427_a_3.jpg,underripe,0.6048
T10_d21_156_a_5.jpg,overripe,0.8353
Tam_d09_126_a_5.jpg,overripe,0.8148
Tam_d07_191_a_4.jpg,overripe,0.8228
T10_d07_027_a_1.jpg,underripe,0.9885
T10_d16_414_a_3.jpg,overripe,0.5247
T10_d01_353_b_1.jpg,underripe,0.9802
T10_d24_048_b_5.jpg,overripe,0.8554
Tam_d09_419_b_5.jpg,overripe,0.8566
Tam_d06_078_a_4.jpg,overripe,0.7578
T10_d05_018_b_1.jpg,underripe,0.9638
T20_d02_103_a_1.jpg,underripe,0.9885
Tam_d07_278_a_4.jpg,overripe,0.5586
T20_d02_391_b_1.jpg,underripe,0.9925
T10_d24_452_b_5.jpg,overripe,0.7751
T10_d05_048_a_1.jpg,underripe,0.9898
T10_d22_220_b_4.jpg,overripe,0.7237
T10_d10_236_b_2.jpg,underripe,0.8824
T20_d02_155_a_1.jpg,underripe,0.9675
T10_d21_296_a_5.jpg,overripe,0.7173
T10_d15_425_a_3.jpg,underripe,0.7346
Tam_d01_039_a_1.jpg,underripe,0.9831
Tam_d08_403_b_5.jpg,overripe,0.8679
T10_d11_108_b_3.jpg,underripe,0.9181
T10_d10_276_a_2.jpg,underripe,0.9881
T10_d06_206_a_1.jpg,underripe,0.9857
Tam_d06_009_b_4.jpg,overripe,0.5307
T20_d07_346_a_4.jpg,overripe,0.9056
T10_d15_402_b_4.jpg,underripe,0.5404
T10_d24_399_a_5.jpg,underripe,0.4353
T10_d12_266_b_3.jpg,underripe,0.7173
Tam_d01_257_a_1.jpg,underripe,0.9758
T10_d25_420_b_4.jpg,overripe,0.7661
T10_d23_217_a_4.jpg,overripe,0.6197
T20_d08_060_a_4.jpg,overripe,0.7519
T10_d08_167_b_1.jpg,underripe,0.9657
T10_d11_292_b_2.jpg,underripe,0.9438
T10_d03_328_b_1.jpg,underripe,0.9573
T10_d13_092_a_3.jpg,underripe,0.8601
Tam_d01_264_b_1.jpg,underripe,0.9703
T10_d02_022_a_1.jpg,underripe,0.9678
Tam_d03_404_a_2.jpg,underripe,0.9200
Tam_d04_028_b_3.jpg,underripe,0.8937
T20_d04_115_a_1.jpg,underripe,0.9642
T10_d06_373_b_1.jpg,underripe,0.9699
T10_d11_011_a_2.jpg,underripe,0.9459
Tam_d08_164_b_4.jpg,overripe,0.9684
Tam_d03_348_b_2.jpg,underripe,0.4939
T10_d26_113_a_5.jpg,overripe,0.6909
T10_d14_211_b_3.jpg,overripe,0.5581
T10_d08_097_a_1.jpg,underripe,0.9560
T10_d07_381_b_2.jpg,underripe,0.8963
T10_d16_156_b_4.jpg,underripe,0.8512
T10_d10_021_a_2.jpg,underripe,0.9686
T10_d26_395_b_5.jpg,overripe,0.6851
Tam_d02_135_b_2.jpg,underripe,0.9436
T10_d06_204_b_1.jpg,underripe,0.9861
Tam_d10_416_b_5.jpg,overripe,0.9873
T20_d03_432_b_2.jpg,underripe,0.9824
T10_d02_269_a_1.jpg,underripe,0.9833
T10_d18_295_b_4.jpg,overripe,0.6258
T10_d21_118_a_4.jpg,overripe,0.8205
T10_d08_254_b_2.jpg,underripe,0.9466
T20_d01_409_a_1.jpg,underripe,0.9882
T10_d23_350_a_4.jpg,overripe,0.8694
T10_d22_083_a_5.jpg,underripe,0.5571
T10_d05_098_b_1.jpg,underripe,0.9935
T10_d22_087_b_5.jpg,overripe,0.7410
T10_d14_133_a_3.jpg,underripe,0.4785
T20_d04_412_b_3.jpg,underripe,0.5096
T10_d16_282_a_4.jpg,overripe,0.8736
T10_d22_442_a_4.jpg,overripe,0.6274
T10_d03_475_b_1.jpg,underripe,0.9827
T10_d03_366_b_1.jpg,underripe,0.9791
T10_d08_211_a_1.jpg,underripe,0.9619
T20_d10_461_b_5.jpg,overripe,0.9821
T10_d26_113_b_5.jpg,overripe,0.5898
T10_d06_402_a_1.jpg,underripe,0.9592
T20_d05_112_a_3.jpg,underripe,0.9268
T10_d21_411_a_4.jpg,underripe,0.6311
T10_d20_047_b_4.jpg,underripe,0.6581
T10_d24_034_b_5.jpg,overripe,0.7640
T10_d05_022_b_1.jpg,underripe,0.9387
T20_d09_293_a_4.jpg,overripe,0.7210
T10_d09_125_b_2.jpg,underripe,0.6790
Tam_d09_460_a_5.jpg,overripe,0.9737
T10_d05_041_b_1.jpg,underripe,0.9733
T10_d11_450_a_3.jpg,underripe,0.7890
T10_d03_422_a_1.jpg,underripe,0.9252
T10_d22_166_a_5.jpg,overripe,0.5983
T10_d05_196_b_1.jpg,underripe,0.9836
T10_d13_349_b_4.jpg,underripe,0.7459
T10_d22_113_b_4.jpg,underripe,0.6616
T20_d08_265_b_4.jpg,underripe,0.4673
T20_d11_360_b_5.jpg,overripe,0.6660
T10_d14_035_a_4.jpg,underripe,0.6967
T20_d01_042_b_1.jpg,underripe,0.9789
Tam_d10_456_a_5.jpg,overripe,0.9070
T20_d10_155_a_5.jpg,overripe,0.8131
T10_d14_087_b_4.jpg,overripe,0.4565
Tam_d03_189_b_2.jpg,underripe,0.9042
T10_d01_298_b_1.jpg,underripe,0.9696
T10_d12_283_a_4.jpg,overripe,0.4999
T10_d23_047_b_5.jpg,underripe,0.7511
T10_d09_252_b_2.jpg,underripe,0.9097
T10_d24_447_a_5.jpg,overripe,0.7818
Tam_d05_301_b_3.jpg,overripe,0.5064
T10_d03_061_b_1.jpg,underripe,0.9840
T10_d03_444_b_1.jpg,underripe,0.8212
T10_d03_083_a_1.jpg,underripe,0.9939
T10_d19_349_b_4.jpg,overripe,0.6618
T10_d01_376_b_1.jpg,underripe,0.9114
T10_d04_254_b_1.jpg,underripe,0.9621
T10_d02_099_b_1.jpg,underripe,0.9822
T10_d15_145_b_3.jpg,underripe,0.8008
T20_d03_071_b_2.jpg,underripe,0.9020
T20_d06_361_a_3.jpg,underripe,0.5824
T10_d09_067_a_2.jpg,underripe,0.9551
T20_d10_049_a_5.jpg,overripe,0.6812
T20_d02_435_a_2.jpg,underripe,0.9853
T10_d24_099_b_5.jpg,overripe,0.7107
T10_d20_274_a_4.jpg,overripe,0.5519
T20_d07_322_a_3.jpg,overripe,0.7519
T20_d01_383_b_1.jpg,underripe,0.9916
T20_d05_390_a_3.jpg,underripe,0.8016
Tam_d05_303_b_3.jpg,overripe,0.6715
T10_d06_058_b_1.jpg,underripe,0.9776
T10_d13_065_a_4.jpg,overripe,0.5093
T10_d20_385_b_4.jpg,overripe,0.5359
T20_d02_409_b_1.jpg,underripe,0.9580
T10_d21_410_b_4.jpg,overripe,0.9474
T10_d10_283_a_3.jpg,underripe,0.6666
T20_d09_378_a_4.jpg,overripe,0.5876
T10_d21_405_b_4.jpg,overripe,0.6702
T20_d04_313_b_2.jpg,underripe,0.5790
Tam_d03_198_a_2.jpg,underripe,0.9833
T20_d01_388_a_1.jpg,underripe,0.9557
T10_d14_333_a_3.jpg,underripe,0.5989
T10_d22_233_a_5.jpg,overripe,0.8396
T20_d01_421_b_1.jpg,underripe,0.9753
T10_d08_026_a_2.jpg,underripe,0.9605
T10_d10_013_a_2.jpg,underripe,0.9203
T10_d15_013_a_3.jpg,underripe,0.5928
T20_d04_107_b_3.jpg,underripe,0.8095
T10_d05_415_b_1.jpg,underripe,0.9212
T10_d16_430_a_4.jpg,overripe,0.6979
T10_d03_373_b_1.jpg,underripe,0.9619
T10_d21_021_b_4.jpg,overripe,0.7189
T10_d24_442_a_4.jpg,overripe,0.6769
Tam_d03_230_a_1.jpg,underripe,0.9811
Tam_d11_231_b_5.jpg,overripe,0.9480
T10_d09_227_a_5.jpg,overripe,0.6455
T10_d21_093_a_4.jpg,overripe,0.6639
T10_d10_110_b_2.jpg,underripe,0.9487
T10_d25_196_b_5.jpg,overripe,0.6848
T20_d02_412_b_2.jpg,underripe,0.9616
T20_d10_394_b_5.jpg,overripe,0.9670
T10_d07_130_a_1.jpg,underripe,0.9177
T10_d01_413_a_1.jpg,underripe,0.9858
T10_d15_186_b_3.jpg,underripe,0.9075
Tam_d05_456_a_4.jpg,overripe,0.6165
T10_d07_168_b_2.jpg,underripe,0.8985
T20_d01_224_a_1.jpg,underripe,0.9870
T10_d14_003_a_4.jpg,underripe,0.8973
Tam_d02_086_a_1.jpg,underripe,0.9701
T10_d09_452_a_2.jpg,underripe,0.9436
T20_d10_036_b_5.jpg,overripe,0.8905
T10_d05_450_a_1.jpg,underripe,0.9674
T10_d07_045_b_1.jpg,underripe,0.9100
T10_d26_420_b_5.jpg,overripe,0.6212
T10_d04_402_a_1.jpg,underripe,0.9690
Tam_d01_303_a_1.jpg,underripe,0.9702
T10_d26_367_a_5.jpg,overripe,0.9164
T10_d19_283_b_5.jpg,overripe,0.4851
T20_d11_383_a_5.jpg,overripe,0.7948
T20_d11_423_a_5.jpg,overripe,0.4658
T20_d09_291_a_4.jpg,overripe,0.8930
Tam_d02_017_b_2.jpg,underripe,0.9496
T10_d19_306_a_4.jpg,overripe,0.5439
T10_d01_475_b_1.jpg,underripe,0.7597
Tam_d08_417_b_4.jpg,overripe,0.9500
Tam_d10_201_a_5.jpg,overripe,0.5643
T20_d08_324_b_4.jpg,overripe,0.7420
T20_d01_332_a_1.jpg,underripe,0.9133
T10_d10_111_b_2.jpg,underripe,0.9680
T10_d22_451_b_4.jpg,overripe,0.9267
T10_d07_096_a_1.jpg,underripe,0.9192
T10_d10_098_a_2.jpg,underripe,0.9925
T10_d25_046_b_5.jpg,overripe,0.9269
T10_d09_148_b_2.jpg,overripe,0.5347
T20_d02_244_b_1.jpg,underripe,0.9672
Tam_d07_074_a_3.jpg,overripe,0.8113
T10_d03_349_a_1.jpg,underripe,0.9767
T20_d04_036_a_2.jpg,underripe,0.9938
T20_d08_023_a_4.jpg,overripe,0.5923
T20_d10_090_b_5.jpg,overripe,0.9449
T20_d11_439_b_5.jpg,overripe,0.9169
T10_d11_003_a_3.jpg,underripe,0.9664
T10_d16_026_b_4.jpg,underripe,0.5414
